anchor,same_period_affil,diff_period_affil,same_period_cos_sim,diff_period_cos_sim
textile science,textile science and engineering,,0.958581805229187,
telecommunications and information engineering,telecommunication and information engineering,,0.9973512887954712,
documentation and information center,documentation center,,0.917451024055481,
"microbiology, immunology and cancer biology","microbiology, immunology, and cancer biology",,0.9960429072380066,
monitoring evaluation and learning,"monitoring, evaluation and learning",instructional systems,0.9748352766036987,0.648058295249939
information systems institute,information technologies institute,,0.9277569055557251,
navy,u.s. navy,,0.9301419258117676,
otorhinolaryngology - head & neck surgery,otorhinolaryngology - head and neck surgery,,0.9977462291717529,
marketing school,advertising school,,0.873079776763916,
biological laboratory,biomedical laboratory,,0.9694734811782837,
"management, economics and industrial engineering","economics, management and industrial engineering",,0.9837372303009033,
business & economics,business and economics,,0.9964489340782166,
loyola medicine,st. ignatius of loyola,,0.7149946689605713,
chemical engineering and textile,chemical and textile engineering,,0.98917555809021,
natural sciences - physics,"natural sciences, physics",,0.9901476502418518,
ingeniería del software e inteligencia artificial,ciencia de la computación e inteligencia artificial,,0.9186305403709412,
health sciences & medicine,health sciences and medicine,,0.9974989891052246,
dietrich arts and sciences,culinary arts,,0.8074609041213989,
management and human potential,management and human resources,,0.850216269493103,
center for parasitological and vector studies,immunology and parasitology,,0.7159836292266846,
dental hygiene,dental health,,0.9397464394569397,
mechanical engineering and industrial construction,mechanical engineering and construction,,0.9769997596740723,
knowledge & information science,knowledge and information science,,0.9962270259857178,
new york state health - wadsworth center,new york state health,,0.8679918646812439,
counseling and counseling psychology,counseling psychology,,0.9809334874153137,
central marseille,central lille,,0.8791307806968689,
kinesiology and nutrition sciences,kinesiology and nutrition,,0.9439032077789307,
music and performing arts professions,music and performing arts,,0.9321533441543579,
lmgp,lmgc,,0.9170976281166077,
core teacher training,teacher training,training course for officers,0.8651928305625916,0.7086621522903442
thermal energy and power engineering,thermal and power engineering,,0.9777113199234009,
chemical and geological sciences,chemical and earth sciences,,0.9549208879470825,
"philosophy, sociology and law",philosophy and sociology,,0.9342556595802307,
stebicef,ibb,,0.7152414321899414,
meteorological research division,meteorological research,,0.8447495102882385,
alnylam pharmaceuticals inc,pharmaceutical company,,0.7674905061721802,
miami project to cure paralysis,rehabilitation research,,0.6463587284088135,
key laboratory of cenozoic geology and environment,key laboratory of marine geology and environment,,0.8235610127449036,
electronic engineering and computer engineering,electronic and computer engineering,,0.9850118160247803,
fixed prosthodontics department,fixed prosthodontics,,0.919502317905426,
materials engineering and ceramics,materials and ceramics engineering,,0.9920269846916199,
seduc-am,seduc am,,0.8609274625778198,
entrepreneur,entrepreneurship,,0.9214986562728882,
general geology,geology,,0.9304906129837036,
data and systems engineering,information and systems engineering,,0.92850661277771,
division of economics,economics division,,0.9124267101287842,
celular biology,celular and molecular biology,,0.9392497539520264,
international and public policy,international public policy,,0.9783241152763367,
christianity education masters,christian education,,0.8945779800415039,
state serum institute,clinical institute,,0.7577170133590698,
united nations office for project services,united nations development program,u.s. peace corps,0.7790071368217468,0.5923691987991333
thermal technology,thermal engineering,,0.8603627681732178,
astroparticle and cosmology,astrophysics and cosmology,,0.9643833637237549,
marine environmental science,marine environmental sciences,marine and atmospheric chemistry,0.9892936944961548,0.8473544120788574
"criminal law, procedural and history of law",criminal law and procedure,,0.9160071611404419,
music arts education,music education,,0.9797112941741943,
division of basic science and engineering,division of science and engineering,,0.927978515625,
early childhood education institution,early childhood education school,,0.9507948160171509,
electronics & communication engineering,electronics and communication engineering,,0.9976054430007935,
ecology and landscape architecture,landscape architecture,,0.832817792892456,
portuguese literature,portuguese language and literature,,0.9724858999252319,
banking management,bank management,,0.9536306858062744,
parallel and distributed systems,distributed systems,,0.880962610244751,
microelectronic science and engineering,microelectronics science and engineering,,0.9909538626670837,
good,nice,lthe,0.8262957334518433,0.65190589427948
private international and civil law,international private law,,0.968778133392334,
innovation management department,innovation department,,0.9207127690315247,
prostitute,human sexuality,,0.7058860659599304,
gerencia regional de salud lambayeque,gerencia regional de salud,,0.8793634176254272,
uacj,jlu,,0.8103259801864624,
graduate chemical science and engineering,graduate chemical sciences and engineering,,0.9935433268547058,
kinesiology & health,kinesiology and health,,0.9974919557571411,
research programme opera,research programme i&o,,0.704719066619873,
environmental chemistry,chemistry and environment,,0.9487032890319824,
ministry of public health and social welfare,ministry of public health,,0.938657283782959,
"power, electronic and telecommunication engineering","electrical, electronics and communications engineering",,0.9523063898086548,
ready child rescue,ready adult help,,0.6950122117996216,
information design,design and informatics,,0.8879505395889282,
national guard health affairs,public health nursing department,,0.7045798897743225,
speech therapist,speech and language therapist,,0.9536501169204712,
tissue engineering and regenerative medicine,tissue engineering,medical biological sciences,0.9084857702255249,0.7531061768531799
pharmaceutical and biomedical sciences,pharmaceutical & biomedical sciences,,0.9979347586631775,
ear nose throat,ear nose and throat,,0.9632807970046997,
esd,emd,,0.8401409387588501,
dbc,dbm,ibls,0.8805249929428101,0.6643989086151123
health and welfare sciences,health sciences and welfare,,0.986250638961792,
biological basis of behavior,behavioral biology,,0.8776806592941284,
science and mathematics department,"science, mathematics department",,0.9925289154052734,
molecular genetics and developmental biology,molecular biology and genetics,,0.9711045026779175,
wuxi apptec china,wuxi apptec,,0.8800967931747437,
cirimat,ciml,,0.7796011567115784,
systematic botany,systematic and evolutionary botany,,0.9575809240341187,
conservative dentistry & endodontics,conservative dentistry and endodontics,,0.9980000257492065,
innovative chinese medicine and pharmacy,chinese medicine,,0.8383529186248779,
center of science and materials technology,center of sciences and technology,,0.9432773590087891,
drug research,drug discovery research,,0.9353123903274536,
ifrr,ifg,,0.8921496272087097,
provita,uespi,,0.7505328059196472,
survey and mapping,surveying and mapping,,0.8909846544265747,
design of architectural environment,architectural environment design,,0.9563747644424438,
porto campus,realengo campus,brazilian institute graduate and extension,0.772604763507843,0.6343209743499756
chair of economics,chair of macroeconomics,,0.944821298122406,
frontier life and medical sciences,frontier medical sciences,,0.9445421695709229,
psychology and behavioral sciences,psychological and behavioral sciences,,0.9906600713729858,
mechanical engineeering,mechanical engineeing,,0.9719931483268738,
applied electronics and instrumentation,applied electronics & instrumentation,,0.9972562789916992,
pediatric nephrology,paediatric nephrology,,0.9469568729400635,
biology & biochemistry,biology and biochemistry,,0.9963669776916504,
nukus state pedagogical institute named after ajinyoz,nukus state pedagogical institute named after ajiniyaz,,0.8810771703720093,
special education & rehabilitation,special education and rehabilitation,,0.9961547255516052,
mountain research center,rocky mountain research station,,0.8663849830627441,
glaxosmithkline plc,glaxosmithkline,,0.9597985148429871,
natural resources and agroforestry systems,agroforestry,,0.8925299644470215,
center for political and constitutional studies,center for constitutional studies,,0.9306609630584717,
mukesh patel technology management and engineering,sardar patel engineering,veer surendra sai medical sciences and research,0.7843872904777527,0.6203019618988037
gansu provincial hospital,henan provincial people's hospital,,0.9321597814559937,
applied physiology & kinesiology,applied physiology and kinesiology,,0.997390627861023,
laum,hla,,0.8003772497177124,
child study and human development,child development and education,human development and applied psychology,0.8854868412017822,0.7457669377326965
manipal medical sciences,medical sciences,,0.9000980854034424,
dept. of physical education,department physical education,,0.9634689688682556,
data center,data centre,,0.9823705554008484,
athens medicine,athens medical school,,0.8330717086791992,
institut langevin,institute laue-langevin,,0.9564963579177856,
robotics and mechatronics engineering,mechatronics and robotics engineering,,0.9709041118621826,
dcos,dcso,,0.8045281171798706,
research sciences and engineering,research science and engineering,,0.9800371527671814,
property construction and project management,"property, construction and project management",,0.9830965995788574,
addiction medicine,addiction psychiatry,,0.9126821160316467,
center for energy and environment,centre for energy and environment,,0.9564471244812012,
american veterinary internal medicine,clinical veterinary medicine,,0.8094136714935303,
hewlett-packard inc,hewlett packard enterprise,,0.9561038017272949,
food and pharmaceutical science,food and pharmaceutical sciences,,0.9708285331726074,
diagnostic medicine,medical diagnostics,,0.9149569869041443,
walgreens,retail pharmacy,,0.7173051834106445,
tokyo metropolitan medical science,tokyo metropolitan komagome hospital,,0.8800318241119385,
"philosophy, politics and economics","philosophy, politics, and economics",,0.99741530418396,
cnr,cnr-imm,,0.9007796049118042,
instituto de educación superior pedagógico publico tayabamba.,instituto federal de educacao ciencia e tecnologia do amapa,instituto cenecista de ensino superior de santo ângelo,0.8329789638519287,0.7427496910095215
google switzerland,abb switzerland,,0.8114379048347473,
isaac newton mathematical sciences,science and mathematics,,0.6875001192092896,
"computer science, electrical and space engineering",computer science & electrical engineering,,0.9115299582481384,
big data & analytics,big data analytics,data processing technology,0.9841887950897217,0.8163674473762512
grad school,graduate school,,0.9478209614753723,
pharmacognosy and medicinal plants,pharmacognosy and herbal medicine,,0.9171698689460754,
qualcomm inc,qualcomm,,0.9120745658874512,
bradford teaching hospitals nhs foundation trust,sheffield teaching hospitals nhs foundation trust,,0.8432286977767944,
cmcc foundation - euro-mediterranean center on climate change,euro-mediterranean center on climate change,,0.8374171257019043,
sooner,er,,0.7133804559707642,
ufscar,ufr,,0.7741629481315613,
air force research laboratory space vehicles directorate,united states air force research laboratory,,0.8468987941741943,
symmes,ifcs,,0.7714977264404297,
graduate program in applied information,graduate program in information science,,0.9275605082511902,
departamento de psicología social,departamento de psicologia social,,0.9920084476470947,
instrumental analytical chemistry,analytical chemistry,,0.9147107005119324,
physiology and membrane biology,physiology and cellular biology,,0.9296455383300781,
academic division of information and systems,academic division of sciences and information technology,,0.835443913936615,
medical analysis laboratory,medical laboratory analysis,,0.9563876390457153,
graduate in music,graduate in music program,,0.960772693157196,
periodontology and implant dentistry,"periodontology, dentistry",,0.970076322555542,
engineering and technology- machines and equipment of agricultural production,engineering and technology- engineering mechanics and technological processes in agricultural industry,,0.9396772980690002,
centre for biological sciences,center for biological sciences,,0.97261643409729,
territories,territorial development,,0.8363810777664185,
mercedes-benz germany,merck germany,,0.8378325700759888,
business masters,masters in business administration,,0.8788246512413025,
theory of condensed matter,condensed matter theory,,0.9341795444488525,
various departments,multiple departments,,0.9650853872299194,
state key laboratory of systematic and evolutionary botany,state key laboratory of plant genomics,,0.8835252523422241,
"state secretariat of education, culture and sports","state secretariat of education, sport and culture",,0.9962191581726074,
world trade institute,international trade,,0.7378172874450684,
analytical and testing center,analytical & testing center,,0.9973079562187195,
neuroscience and brain technologies,neuroscience,,0.9083404541015625,
resources and environment,resources & environment,,0.995130717754364,
bank of republic of colombia,agricultural bank of colombia,,0.9025737643241882,
"natural, exact and education sciences","biology, exact and natural sciences",,0.9096806049346924,
more,and,,0.8076295852661133,
"health, wellbeing and life sciences",health sciences and wellbeing,,0.9614066481590271,
aids research center,center for aids research,,0.9317192435264587,
medicinal plant development,plant biotechnology,,0.8605231642723083,
business management and economics,business economics and management,,0.9920796155929565,
mathematics and modeling,mathematics and mathematical modeling,,0.9864436388015747,
graduate letters,graduate in letters,,0.9331287145614624,
civil and environmental engineer,environmental engineer,,0.9558595418930054,
malardalens hogskola,skogforsk,,0.6047834157943726,
cullen engineering,woodruff mechanical engineering,,0.7633873224258423,
basic biomedical science,basic biomedical sciences,,0.9784311056137085,
media engineering,immersive media engineering,,0.9362544417381287,
veterinary public health and food safety,food safety and health,,0.9226762056350708,
"marriage, family, and human development",family and human development,,0.876509428024292,
eecs department,ece department,,0.9238901138305664,
reproductive medicine and surgery,reproductive medicine,,0.9347920417785645,
scharr,health and related research scharr,,0.6886278390884399,
elementary science and mathematics education,elementary science education,,0.9392131567001343,
curriculum pedagogy and assessment,"curriculum, pedagogy and assessment",,0.9882920384407043,
brainy surgee,brain,,0.7519943714141846,
quantitative and computational biology,quantitative and computational biosciences,,0.9278947114944458,
association of parents and friends of exceptional children of são paulo,association of parents and friends of exceptional children,,0.7825536131858826,
interactive computing,computing,,0.8927484154701233,
european court of human rights,international and european law,,0.7597442269325256,
barcelona city council,barcelona,,0.8213561773300171,
escuela superior politécnica agropecuaria de manabí,escuela superior politécnica de chimborazo escuela de medicina,,0.8755661249160767,
b.sc,b.sc.,,0.9756370782852173,
land air and water resources,"land, air and water resources",,0.9785164594650269,
kla united states,kbr united states,,0.8918523788452148,
symptom research,neuromuscular research,,0.7999861836433411,
"nutrition and food hygiene, public health","nutrition, public health",,0.9467543959617615,
uteg,utn,,0.8344974517822266,
rowan-virtua osteopathic medicine,edward via osteopathic medicine,,0.7760626077651978,
"health, education and technology",health and technology,,0.9243876338005066,
asociación civil impacta salud y educación,proyección social,,0.7602577209472656,
"english, linguistics",english and linguistics,,0.9956688284873962,
inspur china,china,,0.8697038888931274,
medicinal and industrial plants,plant production department,,0.7767933011054993,
big data and information engineering school,information engineering school,,0.885975182056427,
magister of law,magister,,0.8262125253677368,
ihl,fih,,0.8739066123962402,
conservation center,conservation ecology center,,0.9074358940124512,
minsk theological academy,minsk state medical institute,,0.770655632019043,
population and data sciences,population sciences,,0.9316823482513428,
occupational health and safety engineering,occupational safety engineering,,0.9548001289367676,
postgraduate science,post graduate science,,0.9686480164527893,
natural sciences and humanities,humanities and natural sciences,,0.9650766849517822,
massachusetts general hospital cancer center,massachusetts general hospital,,0.9195798635482788,
engineering and informatics,engineering & informatics,,0.9969591498374939,
"social, genetic & developmental psychiatry centre","social, genetic and developmental psychiatry centre",,0.9966332316398621,
sociology: methodology and theory,sociological theory,,0.9076845645904541,
ministry of environment and sustainable development,ministry of environment,,0.9375534057617188,
"teaching, learning, and teacher education","teaching, learning and teacher education",,0.9987220764160156,
humanites,people,,0.9083462953567505,
center for teaching excellence,centre for teaching excellence,,0.9826574921607971,
physical and astronomical faculty,faculty for physics and astronomy,,0.8841744661331177,
center for development studies,centre for development studies,,0.9733365774154663,
plankton and marine ecology,plankton,,0.870764434337616,
"electronic information and electrical engineering,",electronic information and electrical engineering,,0.9864064455032349,
veterinary medical center,medical center,,0.9084305763244629,
interdisciplinary center for health sciences,center health sciences,,0.9306293725967407,
legal institut,law institute,,0.8045459985733032,
cirsfid,cir,,0.6784857511520386,
"center for human sciences, education and letters","center for human sciences, social and letters",,0.9692080616950989,
liver diseases,liver disease,,0.9794727563858032,
international affairs division,international affairs department,,0.8890492916107178,
journalism and mass media,journalism and media,,0.9646755456924438,
production engineering and metallurgy,production and metallurgy engineering,,0.993371844291687,
physical science department,physical sciences department,,0.9855272769927979,
economic and sociological,economic and social,,0.9658734202384949,
principalship,principal,,0.7987663745880127,
mechatronics and electrical engineering,electrical engineering and mechatronics,,0.9840213060379028,
prograd,proppg,,0.7791199684143066,
bachelor of science in criminology,bs criminology,,0.8485106229782104,
"media, culture and society",culture and media,,0.9471536874771118,
political science and law,law and political science,,0.9833257794380188,
imc,impmc,,0.8888272047042847,
biomems,biologics,,0.8709849715232849,
cdi,cdc,,0.9129246473312378,
organ transplantation,organ transplant center,,0.9274485111236572,
microbiology & hygiene,microbiology and hygiene,,0.9970605373382568,
surgical gastroenterology,gastroenterology surgery,,0.9357519149780273,
drilling technology,drilling engineering,,0.8824326992034912,
architecture and engineering faculty,architectural and engineering faculty,,0.9888437390327454,
departamento de comunicación social,departamento de estudios de la comunicación social,,0.9071353673934937,
post graduate program in architecture,graduate program in architecture,,0.9560603499412537,
arts and crafts,fine and decorative arts,,0.8868652582168579,
control,controlling,,0.9294401407241821,
"business economics, health and social care","business, economics and social sciences",,0.861689567565918,
global brain health institute,brain institute,global research center,0.8683584928512573,0.7094306945800781
"mineralogy, petrology and economic geology",mineralogy and petrology,,0.9296228289604187,
metrologia,metrology,,0.9137120246887207,
national marine environmental monitoring center,national marine environmental forecasting center,,0.850382387638092,
arctic and antarctic research institute,arctic research center,,0.9145499467849731,
dispac,disucom,,0.7282054424285889,
psychiatrist,psychiatrists,,0.9574147462844849,
molecular chemistry,macromolecular chemistry,,0.9822548627853394,
molecular pharmacology and physiology,molecular pharmacology & physiology,,0.9981358647346497,
printing,printmaking,,0.921952486038208,
cellular and system medicine,"molecular medicine, medicine",,0.8197239637374878,
data management unit,data management,,0.9268732070922852,
training and research,research and training,,0.9956496953964233,
ministry and theology,theology and ministry,,0.9449716806411743,
nutriomics,nutrition and dietetics,,0.8902617692947388,
laboratory of neuroimaging,neuroimaging laboratory,,0.9479484558105469,
"industrial management, economics and trade",industrial economics and management,,0.9457341432571411,
health and nursing sciences,health sciences and nursing,,0.9944300651550293,
coman,feac,,0.7600682973861694,
applied bioengineering,bioengineering,,0.9421951770782471,
engineeering,engineeing,,0.9121536016464233,
"soil, water and environmental science","soil, water, and environmental science",,0.9960094690322876,
taub research on alzheimer's disease and aging brain,alzheimer's disease research center,,0.8283397555351257,
nature education,outdoor education,,0.8445096015930176,
comprehensive dentistry,comprehensive general dentistry,,0.9694444537162781,
hospital de santo antónio,hospital do espírito santo,,0.8544947504997253,
hkust,ust,,0.8393563628196716,
profei,profept,,0.7350901961326599,
florence nightingale nursing,florence nightingale nursing and midwifery,,0.8914283514022827,
inra toulouse midi-pyrénées centre,inra montpellier centre,,0.8349148631095886,
singapore clinical sciences,cancer science singapore,,0.8304058909416199,
essua,ess,,0.8085909485816956,
computers and informatics,computer and informatics,,0.977367103099823,
cytology,cytophysiology,,0.8699650764465332,
cattle breeding,cattle raising,,0.9561195373535156,
psychology unit,psychiatry unit,,0.9280596375465393,
"education, agriculture and environment","education, environment and development",,0.8814300298690796,
procter & gamble united states,procter and gamble,,0.792485237121582,
centre for lifelong learning,lifelong learning centre,,0.9441453218460083,
"law, economics and finance",finance and law,,0.946138858795166,
mayo clinic medicine and science,mayo clinic medicine,,0.9331808090209961,
buddhist philosophy,buddhism,,0.9096818566322327,
water resources and irrigation engineering,water resource and irrigation engineering,,0.9939756393432617,
urology service,neurology service,,0.8900555372238159,
instituto superior de ciências da saúde,instituto superior de ciências da saúde egaz moniz,,0.9226729869842529,
ipo porto,porto architecture,escola superior de tecnologia da saúde do porto,0.8170032501220703,0.6919878721237183
dmmm,dmm,,0.8704988956451416,
educational planning,educational planning and management,,0.9357568025588989,
"metallurgical, materials and mining engineering","mining, metallurgical and materials engineering",,0.9833006858825684,
stem cell biology and regenerative medicine,stem cell biology & regenerative medicine,,0.9967280626296997,
g2elab,gipsa-lab,,0.7725796699523926,
computer science and media technology,computer science and technology,,0.9005876779556274,
etsiaab,etsab,,0.9009742736816406,
dcu business school,business school,,0.8090633153915405,
global pediatric medicine,pediatrics and medicine,,0.8403547406196594,
social dynamics and change,politics and society,"environmental, social and spatial change",0.7758075594902039,0.8147691488265991
applied clinical research,applied health research,,0.9193317890167236,
mestrado em desenvolvimento regional,programa de mestrado em desenvolvimento regional,,0.9329485893249512,
world languages,world language,,0.9522656798362732,
"modelling, evidence and policy",theory and modelling,,0.7570004463195801,
research centre in digitalization and intelligent robotics,centre for artificial intelligence,,0.8246709108352661,
western technology and higher education,education and technology,,0.8344289064407349,
cpdoc,dcp,,0.8371500968933105,
centre for demographic research,center for demographic research,,0.9746745824813843,
burnet institute,power institute,,0.705108642578125,
kids research institute australia,children's cancer institute australia,,0.867759108543396,
nutrition and dietetics service,food and nutrition service,,0.8880060315132141,
scholarly communications,academic writing,,0.8334009647369385,
theory and biosystems,theory and bio-systems,,0.9712429642677307,
paprsb health sciences,health sciences,,0.8529092669487,
p.a. hertzen moscow oncology research institute,n.n. petrov oncology research institute,,0.8034690618515015,
cataloging department,cataloging,,0.8817874789237976,
construction management and real estate,construction and real estate management,,0.9904784560203552,
language theory and communication sciences,theory of language and communication sciences,,0.9777514338493347,
cavendish laboratory,"cavendish laboratory, physics",,0.8909307718276978,
psychiatry & behavioural neurosciences,psychiatry and behavioural neurosciences,,0.998169481754303,
research and innovation division,division of research and innovation,,0.9619758129119873,
tape,etap,,0.6913609504699707,
mathematics and computing science,mathematics and computer science,,0.9898214340209961,
corporate sustainability,sustainability governance,,0.892343282699585,
west china basic medical sciences & forensic medicine,west china basic medical sciences and forensic medicine,,0.9980890154838562,
"electronics, telecommunication and informatics","electronics, telecommunications and informatics",,0.9954565167427063,
counseling and personnel services,counseling services,counseling & human services,0.9328063130378723,0.9334498643875122
plant science division,division of plant science,,0.9730932116508484,
speech pathology,speech language pathology,,0.9560444951057434,
biomechanics,biomechanics and movement science,,0.9107748866081238,
congress of republic of peru,autonomous region of peru,,0.7589594721794128,
te huataki waiora health,waikato district health board,,0.7556348443031311,
discab,disu,dibe,0.8168160915374756,0.7763918042182922
jackson geosciences,jackson geoscience,,0.9850040078163147,
ecd,oecd,,0.9442895650863647,
each,and,,0.7650203704833984,
letters / literature,letters and literature,,0.9807060956954956,
gender equality,equality,,0.8200950622558594,
mathematics-computer,mathematics and computer,,0.9857680797576904,
teaching innovation unit,teaching and learning innovation,,0.8703126907348633,
ingeniero civil,ingenieria civil,,0.9113112688064575,
"center for demographic, urban and environmental studies",center for urban demographic and environmental,,0.9020301103591919,
health education department,health education,,0.9084584712982178,
"environmental, biological and pharmaceutical sciences and technologies",biological and pharmaceutical sciences and environmental technologies,,0.9831835627555847,
welding research institute,joining and welding research institute,,0.8653426170349121,
imapp,itp,,0.6735010743141174,
construction economics and management,construction economics & management,,0.9970054626464844,
it convergence,ict convergence,,0.8919233083724976,
turku pet centre,pet centre,,0.7856151461601257,
chemical and food engineering,food and chemical engineering,,0.9871988892555237,
specialty chemicals,chemicals,,0.8877183794975281,
"economics, administration, actuary and accounting","economics, administration, accounting and actuary",,0.9969107508659363,
"division of applied chemistry, graduate engineering","applied chemistry, graduate engineering",,0.931114912033081,
education and learning technology,educational technology,,0.9702587127685547,
maritime division,maritime,,0.8597939014434814,
automotive mechanic,automotive mechanics,,0.9640923738479614,
applied science & engineering,applied science and engineering,,0.9958556294441223,
center for nanoscience and engineering,centre for nanoscience and engineering,,0.9754680395126343,
bbe,sbe,,0.9185018539428711,
human body movement,human movement,,0.9476258158683777,
film & tv,film and tv,,0.9958797097206116,
periodontology and oral implantology,periodontology & oral implantology,,0.9970443248748779,
archaeology of northwestern europe,archeologie,,0.6678082942962646,
software engineering and management intelligent technologies,software engineering,,0.8548086881637573,
veterinary medicine and animal production,veterinary medicine and animal husbandry,,0.9475213289260864,
instituto nacional de medicina legal y ciencias forenses,instituto nacional de medicina legal e ciências forenses,,0.973410964012146,
islamic theology,islamic theology and philosophy,,0.9478560090065002,
sciences and water technology,water science and technology,,0.9754155874252319,
graphic communication,graphic communication design,,0.9032388925552368,
"order of red banner of labor, s.i. georgievsky medical institute",medical academy named after s.i. georgievsky,zaporozhye state medical institute,0.7452797293663025,0.6871522665023804
international management and business,international business and management,,0.9963624477386475,
public governance and management,public management and governance,,0.9947834610939026,
carnegie faculty,carnegie education,,0.8742547035217285,
biotechnology and bioscience,biotechnology and biosciences,,0.9942185878753662,
doctoral informatics,doctoral applied informatics and applied mathematics,,0.8874641060829163,
postgraduate program in process engineering,postgraduate program in engineering,,0.9348932504653931,
"pediatrics, medicine",pediatrics and medicine,,0.9933189153671265,
scientific-organizational department,scientific and organizational department,,0.9779813289642334,
repertory,performing arts,,0.8411039113998413,
experimental physics iv,experimental physics vi,,0.9650183320045471,
master's degree in health sciences,graduate degree in health sciences,,0.8987217545509338,
departamento de tecnologia industrial,departamento de engenharia industrial,agricultural mechanization department,0.8735250234603882,0.6817893385887146
laboratoire de physique subatomique et des technologies associees,laboratoire de physique subatomique et de cosmologie,,0.8864700198173523,
law faculty political and social sciences,law and political science faculty,,0.9301681518554688,
mathematics science and technology education,"mathematics, science and technology education",,0.9886646866798401,
nutritional epidemiology,epidemiology and bio-statistics,,0.8239524364471436,
crh,crm,,0.8635437488555908,
molecular biology division,molecular and structural biology division,,0.9618829488754272,
swisspeace,swiss-prot,swiss-prot group,0.7634748220443726,0.7433825731277466
classical philology department italianistica,classical philology and italian studies,,0.9278523921966553,
law and public administration,public administration and law,,0.9836803078651428,
graduate physical sciences astronomical sciences,"graduate science, physics",,0.9096659421920776,
research center for biology,research center for biotechnology,,0.8981677293777466,
"computer, control, and management engineering","computer, control and management engineering",,0.9950518608093262,
humanities research institute,humanities institute,,0.9394413232803345,
psicology,´psicologia,,0.9118870496749878,
harquail earth sciences,earth science department,,0.7840776443481445,
delhi economics,"commerce, delhi economics",,0.9002328515052795,
chemistry and nanotechnology,chemistry & nanoscience,,0.978025496006012,
bioeconomy and health,bioeconomy,,0.9217957854270935,
instituto salvadoreño del seguro social,instituto mexicano del seguro social,,0.8234590888023376,
national public works of state,national state public works,,0.9780553579330444,
pg and research commerce,pg & research commerce,,0.990730881690979,
hassania public works,hassan ii agronomic and veterinary institute,,0.6248278617858887,
"dr. siyami ersek chest, heart and vascular surgery training and research hospital",bakırköy dr. sadi konuk training and research hospital,,0.8041261434555054,
literature and languages ​​of world,literatures and languages ​​of world,,0.9941348433494568,
laboratoire plasma et conversion d'energie,laboratoire plasma et conversion d'énergie,,0.9928256273269653,
english and mel,english & mel,,0.9910410642623901,
downstream,upstream,,0.9114792346954346,
sogamoso,putumayo,,0.7211187481880188,
swiss bioinformatics,sib swiss bioinformatics,,0.9766059517860413,
research center for mining technology,research center for metallurgy,,0.8287489414215088,
soil science & agricultural chemistry,soil science and agricultural chemistry,,0.9972871541976929,
keldysh applied mathematics,applied maths,,0.7798800468444824,
"sociology, anthropology, and criminal justice","sociology, anthropology and criminal justice",,0.9974079132080078,
animal health and anatomy,animal health,,0.9224112033843994,
centre of teaching and learning,centre for teaching and learning,,0.9315769672393799,
no medical school. one,medical school,,0.6869613528251648,
"stadística, mathematics and informatics","mathematics, statistics and informatics",,0.8983927369117737,
quality and production,production and quality,,0.9864014983177185,
graduate in urban planning,graduate program in urban planning,,0.9653391242027283,
folklore,folkloristics,,0.8964099884033203,
medical and biological faculty,medico-biological faculty,,0.9634544849395752,
biochemical and chemical engineering,biological and chemical engineering,,0.9815834164619446,
"biodiversity, ecology and evolution",biodiversity and ecology,,0.9696569442749023,
information and control engineering,information science and control engineering,,0.9561048150062561,
social science unit,social sciences unit,,0.979011058807373,
restorative sciences,rehabilitation science and technology,,0.7907272577285767,
inria sophia antipolis mediterranean research centre,research centre inria sophia antipolis - méditerranée,,0.8332335948944092,
ukrainian military medical academy,ukrainian medical stomatological academy,,0.883598268032074,
advanced photon source,advanced light source,,0.8766985535621643,
clinical and developmental neuropsychology,"clinical, neuro and developmental psychology",,0.9454230070114136,
planning management,planning and management,,0.9754352569580078,
culture and art ica,culture and art,,0.9655746221542358,
human and information sciences,human sciences and information,,0.9746335744857788,
military school,military education,,0.9277046918869019,
oncology and pathology,oncology pathology,,0.9770158529281616,
miller medicine,quillen medicine,,0.8070214986801147,
battelle,warfighter performance,,0.648892879486084,
ocean systems,oceans,,0.8985339403152466,
bioinfomatics,microbial biotechnology,,0.8904709219932556,
environmental health and ecological science,environmental health and ecological sciences,,0.9889810085296631,
mgh health professions,health professions,,0.9606906771659851,
women's and children's health,women's & children's health,,0.9972261190414429,
instituto federal de educação ciência e tecnologia de roraima,"instituto federal de educação, ciência e tecnologia de roraima",,0.9910825490951538,
caspo,casp,,0.8495227098464966,
natural resources institute finland,natural resources institute finland luke,,0.9117172360420227,
sports education,sport education,,0.9554615616798401,
"psychiatry, medicine",psychology and medicine,,0.9389824271202087,
water resource engineering,water resources engineering,,0.99278724193573,
infectious disease and immunology,infectious diseases and immunology,,0.9963144063949585,
computer & electrical engineering,computer and electrical engineering,,0.995900571346283,
costa rica technology,costa rican technology,,0.9649512767791748,
chemistry and material sciences,chemistry and material science,,0.9931994676589966,
normal superior pisa,pisa,,0.7179805040359497,
moore center for science,science center,marine sciences research center,0.7716292142868042,0.6675763130187988
massachusetts technology lincoln laboratory,"lincoln laboratory, massachusetts technology",,0.9715107679367065,
military fire state of rio de janeiro,military rio de janeiro,,0.8528382778167725,
department for functional materials in medicine and dentistry,materials department,,0.7887619733810425,
escuela nacional de trabajo social,facultad de trabajo social y desarrollo humano,,0.8337095975875854,
stirling management school,glasgow school for business and society,,0.7372459173202515,
of mathematics,numerical mathematics,,0.9515586495399475,
