cmd,reason
slovenian nmr centre,not_academic
snake charmer,not_academic
sns,not_academic
snt,not_academic
snv,not_academic
sociologia rural,non_english
sogma,not_academic
sonsonate,not_academic
sosiologi,non_english
south,not_academic
specialization,not_academic
spms,not_academic
staps,not_academic
starc,not_academic
store,not_academic
story,not_academic
subaddress research and postgraduate,not_academic
suchitepequez,not_academic
sucre,not_academic
suit,not_academic
surrounded,not_academic
tabiiy fanlar,non_english
tachira,not_academic
tacna,not_academic
tamil,not_academic
tarbiyah,non_english
tarix,non_english
tecnologia,non_english
tecsup,not_academic
tegucigalpa,not_academic
teknik och samhälle,non_english
teologi,non_english
teologia,non_english
terapia intensiva,non_english
test innovations,not_academic
thies,not_academic
this,not_academic
ti,not_academic
tibb,not_academic
tic,not_academic
tolima,not_academic
tourist rush,not_academic
trabajo social,non_english
trade,not_academic
trujillo,not_academic
tsmu,not_academic
tunis,not_academic
táchira,not_academic
ubitech limited,not_academic
ufr agroforestie,non_english
ufr des sciences et technologies des aliments,non_english
ufr des sciences médicales,non_english
ufr sciences de la nature,non_english
ufr sciences et gestion de l'environnement,non_english
ufr sciences médicales,non_english
ultrasound,not_academic
undergraduate,not_academic
"undergraduate, graduate and postgraduate",not_academic
ungainly,not_academic
union,not_academic
united,not_academic
unité de formation et de recherche en sciences de la santé,non_english
unité de formation et de recherche en sciences de la vie et de la terre,non_english
unité de formation et de recherche en sciences et technologies,non_english
urania enclosure montás,not_academic
urania enclosure mounts,not_academic
urania montas,not_academic
urbanisme,non_english
uruguay,not_academic
uruguayan association of psychoanalytic psychotherapy,not_academic
usulutan,not_academic
usulután,not_academic
uzbekistan,not_academic
valley,not_academic
venezuela,not_academic
vetagro sup,not_academic
vice -rector for research and projection,not_academic
"vice -rector for research, postgraduate and extension",not_academic
vice-rector for research and graduate studies,not_academic
vice-rector for research and innovation,not_academic
vice-rector of research and graduate studies,not_academic
vice-rectorate for postgraduate studies,not_academic
vicerrectorado academic,non_english
vicerrectorado research and postgraduate,non_english
vicerrectoría de acción social,non_english
vicerrectoría extension,non_english
vicerrectoría research,non_english
vicerrectoría teaching,non_english
vnuhcm – high school for gifted,not_academic
was saying,not_academic
wetsuit,not_academic
what is it?,not_academic
winter,not_academic
wise sunday,not_academic
wouri,not_academic
wso2 sri lanka,not_academic
yoro,not_academic
you are here,not_academic
yy,not_academic
zacapa,not_academic
zelaya central,not_academic
zulia,not_academic
árni magnússon icelandic studies,non_english
école des hautes études en sciences sociales,non_english
école des sciences de i'information,non_english
école inter etats des sciences et médecine vétérinaires de dakar,non_english
école inter-états des sciences et médecine vétérinaires de dakar,non_english
école marocaine des sciences de l'ingénieur,non_english
école nationale de commerce et de gestion,non_english
école nationale de commerce et de gestion de tanger,non_english
école normale supérieure,non_english
école normale supérieure - psl,non_english
école normale supérieure de lyon,non_english
école polytechnique,non_english
école supérieure privée d'ingénierie et de technologies,non_english
ñeembucu,not_academic
ñeembucú,not_academic
